dept,nom,Gazole,SP98,SP95_E10,SP95,lat,lon
03,ENI FRANCE RELAIS SAINT JEAN | ENI FRANCE,1.523,1.642,1.5759999999999998,,46.32753470000001,2.60850819999996
03,INTERMARCHE MONTLUCON | Intermarché,1.389,1.5590000000000002,1.494,,46.3395643,2.5815210000000657
03,Marais-Dis | Leclerc,1.389,1.539,,1.489,46.35270570000001,2.58781410000006
03,AUCHAN CARBURANT MONTLUCON-DOMERAT | Auchan,1.389,1.5590000000000002,1.494,1.519,46.339622,2.5678477999999814
03,CMN | Indépendant sans enseigne,1.499,1.624,,1.598,46.118453,3.094812999999931
03,Market | Carrefour Market,1.422,1.595,,1.52,46.077384,3.201659999999947
03,Relais Lagarde Paris Lozère | Total,1.499,1.679,1.569,,46.1097419,3.1984056000000014
03,INTERMARCHE HURIEL | Intermarché Contact,1.508,1.666,,1.638,46.3721515,2.4699524999999767
03,AGIP LAPALISSE - STATION CANTAT | Agip,1.45,1.59,,1.56,46.24791810000001,3.629927700000053
03,Carrefour Market | Carrefour Market,1.41,1.555,,1.548,46.255344,3.6245159999999714
03,LAPALISSE ESSENCE | Indépendant sans enseigne,1.45,1.59,,1.56,46.2476424,3.6290304000000333
03,INTERMARCHE LE MAYET DE MONTAGNE | Intermarché,1.404,1.53,1.467,,46.066742700000006,3.6581472000000304
03,CARREFOUR MONTLUCON | Carrefour,1.389,1.539,1.455,1.489,46.3442709,2.600672799999984
03,INTERMARCHE MONTLUCON | Intermarché,1.389,1.539,1.455,1.489,46.33326599999999,2.6018569999999954
03,LECLERC EXPRESS | Leclerc,1.389,1.539,,1.489,46.3178019,2.5789859000000206
03,Relais Lagarde Montluçon | Total,1.5119999999999998,1.705,1.595,,46.3431927,2.59205309999993
03,CARREFOUR MARKET | Carrefour Market,1.409,1.5490000000000002,,1.495,46.32255019999999,2.9632257000000664
03,Dubois-Dallois Station TOTAL | Total,1.499,1.6969999999999998,1.587,,46.604226800000006,3.304253900000049
03,SARL ADOL NERIS LES BAINS | Intermarché,1.419,1.519,,1.499,46.28281459999999,2.6698721000000205
03,Carrefour Market | Carrefour Market,1.409,1.5830000000000002,,1.5490000000000002,46.3114576,3.281138100000021
03,Relais de la Sioule Total Lagarde | Total,1.482,,1.564,,46.3065004,3.294338000000039
03,EURL BITEZ | Agip,1.527,1.6769999999999998,,1.6469999999999998,46.390579,2.6117646999999806
03,Carrefour Market | Carrefour Market,1.376,1.539,,1.5019999999999998,46.0542476,3.47057140000004
03,INTERMARCHE CONTACT SOUVIGNY | Intermarché Contact,1.449,,1.499,1.539,46.4969578,2.9934610999999904
03,Carrefour Market | Carrefour Market,1.429,1.569,,1.499,46.3172884,3.3969915999999785
03,RELAIS DU VAL D'ALLIER | Avia,1.589,1.719,,1.689,46.3237505,3.390322900000001
03,CORA VICHY | CORA,1.376,1.529,1.496,,46.1435718,3.414893500000062
03,Relais Total du Vernet | Total,1.515,1.6869999999999998,1.577,,46.11631939999999,3.437471500000015
03,RELAIS BEAU SOLEIL | Avia,1.5490000000000002,1.729,,1.679,46.56366970000001,3.3550271000000293
03,CARREFOUR MOULINS | Carrefour,1.37,,1.436,1.48,46.5398501,3.3431869999999435
03,INTERMARCHE MOULINS | Intermarché,1.37,1.471,1.412,,46.56296,3.3191041999999698
03,INTERMARCHE CONTACT | Intermarché,1.479,,,1.599,46.2064629,3.432836400000041
03,DATS ST POURCAIN SUR SIOULE | Colruyt,1.409,,1.489,1.5490000000000002,46.30327,3.2966436000000385
03,Station total access Relais des Beaumenus | Total Access,1.409,1.5630000000000002,1.485,,46.3015073,3.296149499999956
